step    45 | total loss: 9.732899 | lr: 4.6000e-03 | norm: 10.9463 | mlm loss: 8.828362 | nsp loss: 0.904537 | dt: 0.40ms | tok/sec: 20344.85 tokens/sec | remaining: 1h:6m
step    46 | total loss: 9.639181 | lr: 4.7000e-03 | norm: 3.3448 | mlm loss: 8.928851 | nsp loss: 0.710330 | dt: 0.40ms | tok/sec: 20381.28 tokens/sec | remaining: 1h:6m
step    47 | total loss: 9.423162 | lr: 4.8000e-03 | norm: 6.2591 | mlm loss: 8.651158 | nsp loss: 0.772003 | dt: 0.40ms | tok/sec: 20382.23 tokens/sec | remaining: 1h:6m
step    48 | total loss: 9.541549 | lr: 4.9000e-03 | norm: 9.0906 | mlm loss: 8.654742 | nsp loss: 0.886807 | dt: 0.40ms | tok/sec: 20318.45 tokens/sec | remaining: 1h:6m
step    49 | total loss: 9.395893 | lr: 5.0000e-03 | norm: 6.0367 | mlm loss: 8.632451 | nsp loss: 0.763442 | dt: 0.40ms | tok/sec: 20343.09 tokens/sec | remaining: 1h:6m
step    50 | total loss: 9.590712 | lr: 5.1000e-03 | norm: 10.3760 | mlm loss: 8.721700 | nsp loss: 0.869012 | dt: 6.66ms | tok/sec: 1229.12 tokens/sec | remaining: 18h:25m
step    51 | total loss: 9.689046 | lr: 5.2000e-03 | norm: 8.3010 | mlm loss: 8.846766 | nsp loss: 0.842279 | dt: 0.40ms | tok/sec: 20351.92 tokens/sec | remaining: 1h:6m
step    52 | total loss: 9.464961 | lr: 5.3000e-03 | norm: 8.9584 | mlm loss: 8.657753 | nsp loss: 0.807208 | dt: 0.40ms | tok/sec: 20318.10 tokens/sec | remaining: 1h:6m
step    53 | total loss: 9.588098 | lr: 5.4000e-03 | norm: 9.5553 | mlm loss: 8.729647 | nsp loss: 0.858451 | dt: 0.40ms | tok/sec: 20378.51 tokens/sec | remaining: 1h:6m
step    54 | total loss: 9.532233 | lr: 5.5000e-03 | norm: 9.5848 | mlm loss: 8.642174 | nsp loss: 0.890059 | dt: 0.40ms | tok/sec: 20350.89 tokens/sec | remaining: 1h:6m
step    55 | total loss: 9.264335 | lr: 5.6000e-03 | norm: 2.6917 | mlm loss: 8.651956 | nsp loss: 0.612379 | dt: 0.40ms | tok/sec: 20340.27 tokens/sec | remaining: 1h:6m
step    56 | total loss: 9.578168 | lr: 5.7000e-03 | norm: 9.9109 | mlm loss: 8.719221 | nsp loss: 0.858947 | dt: 0.40ms | tok/sec: 20279.89 tokens/sec | remaining: 1h:6m
step    57 | total loss: 9.297638 | lr: 5.8000e-03 | norm: 4.2636 | mlm loss: 8.608452 | nsp loss: 0.689186 | dt: 0.40ms | tok/sec: 20325.69 tokens/sec | remaining: 1h:6m
step    58 | total loss: 9.577380 | lr: 5.9000e-03 | norm: 4.2512 | mlm loss: 8.857467 | nsp loss: 0.719914 | dt: 0.40ms | tok/sec: 20343.98 tokens/sec | remaining: 1h:6m
step    59 | total loss: 9.415451 | lr: 6.0000e-03 | norm: 2.1928 | mlm loss: 8.719490 | nsp loss: 0.695961 | dt: 0.41ms | tok/sec: 20220.37 tokens/sec | remaining: 1h:7m
step    60 | total loss: 9.463268 | lr: 6.1000e-03 | norm: 1.7397 | mlm loss: 8.778183 | nsp loss: 0.685085 | dt: 0.40ms | tok/sec: 20289.39 tokens/sec | remaining: 1h:6m
step    61 | total loss: 9.208605 | lr: 6.2000e-03 | norm: 4.4831 | mlm loss: 8.478439 | nsp loss: 0.730165 | dt: 0.40ms | tok/sec: 20253.82 tokens/sec | remaining: 1h:7m
step    62 | total loss: 9.509792 | lr: 6.3000e-03 | norm: 2.5603 | mlm loss: 8.826581 | nsp loss: 0.683211 | dt: 0.40ms | tok/sec: 20241.02 tokens/sec | remaining: 1h:7m
step    63 | total loss: 9.481308 | lr: 6.4000e-03 | norm: 11.2687 | mlm loss: 8.611372 | nsp loss: 0.869936 | dt: 0.41ms | tok/sec: 20225.54 tokens/sec | remaining: 1h:7m
step    64 | total loss: 9.309103 | lr: 6.5000e-03 | norm: 1.6542 | mlm loss: 8.619302 | nsp loss: 0.689801 | dt: 0.40ms | tok/sec: 20244.05 tokens/sec | remaining: 1h:7m
step    65 | total loss: 9.505861 | lr: 6.6000e-03 | norm: 7.7366 | mlm loss: 8.684578 | nsp loss: 0.821283 | dt: 0.40ms | tok/sec: 20275.79 tokens/sec | remaining: 1h:6m
step    66 | total loss: 9.944501 | lr: 6.7000e-03 | norm: 15.1507 | mlm loss: 8.701997 | nsp loss: 1.242504 | dt: 0.40ms | tok/sec: 20285.50 tokens/sec | remaining: 1h:6m
step    67 | total loss: 9.421283 | lr: 6.8000e-03 | norm: 3.5399 | mlm loss: 8.711246 | nsp loss: 0.710036 | dt: 0.40ms | tok/sec: 20305.61 tokens/sec | remaining: 1h:6m
step    68 | total loss: 9.420112 | lr: 6.9000e-03 | norm: 8.7001 | mlm loss: 8.557248 | nsp loss: 0.862863 | dt: 0.41ms | tok/sec: 20214.92 tokens/sec | remaining: 1h:7m
step    69 | total loss: 10.146755 | lr: 7.0000e-03 | norm: 17.8173 | mlm loss: 8.724779 | nsp loss: 1.421976 | dt: 0.40ms | tok/sec: 20285.09 tokens/sec | remaining: 1h:6m
